Place Name,County,Latitude,Longitude
Brittas Bay,Wicklow,52.88536,-6.06203
Shillelagh,Wicklow,52.7545156,-6.5334605
Roundwood,Wicklow,53.0657875,-6.2241877
Baltinglass,Wicklow,52.94110939999999,-6.7083115
Aughrim,Wicklow,52.8559337,-6.3259331
Glendalough,Wicklow,53.0112797,-6.3261752
Newtownmountkennedy,Wicklow,53.0927815,-6.112023
Rathdrum,Wicklow,52.93231230000001,-6.2311012
Kilpedder,Wicklow,53.11037349999999,-6.1055471
Dunlavin,Wicklow,53.0578764,-6.7016395
Hollywood,Wicklow,53.0918211,-6.599053
Tintern,Wicklow,52.9807857,-6.046806
Carnew,Wicklow,52.7096658,-6.4992316
Kilmacanogue,Wicklow,53.16859669999999,-6.1361973
Sallygap,Wicklow,53.1369,-6.31
Glencree,Wicklow,53.2005852,-6.2923845
Ballymore,Wicklow,52.9807857,-6.046806
Ballygannon,Wicklow,52.9372189,-6.243158
Ballygar,Wicklow,52.9807857,-6.046806
Ferns,Waterford,52.590943,-6.498069
Ballyovey,Mayo,53.70502,-9.266393
Aughavas,Mayo,53.95584,-7.717897
